Date/Time,Generation,Best Fitness,Average Fitness,Average Score,High Score,Generation High Score
[2022-12-06 19:58:22 ()],70,929.5160031,82.8134528,0.34,3,2
,,,,,,
[2022-12-06 19:58:28 ()],71,838.1312546,69.4589287,0.28,3,2
,,,,,,
[2022-12-06 19:58:35 ()],72,2000,95.70569336,0.34,3,2
,,,,,,
[2022-12-06 19:58:42 ()],73,1651.026347,77.12631617,0.32,3,2
,,,,,,
[2022-12-06 19:58:48 ()],74,3219.937888,135.1554925,0.4,3,3
,,,,,,
[2022-12-06 19:58:56 ()],75,1221.880518,93.84251016,0.375,3,2
,,,,,,
[2022-12-06 19:59:03 ()],76,1764.866001,94.23537147,0.34,3,2
,,,,,,
[2022-12-06 19:59:09 ()],77,838.1312546,79.4262628,0.325,3,2
,,,,,,
[2022-12-06 19:59:16 ()],78,2000,108.2359833,0.425,3,2
,,,,,,
[2022-12-06 19:59:22 ()],79,1651.026347,117.2835711,0.39,3,2
,,,,,,
[2022-12-06 19:59:30 ()],80,1539.745434,84.50678535,0.335,3,2
,,,,,,
[2022-12-06 19:59:37 ()],81,4047.715405,123.5759792,0.39,3,2
,,,,,,
[2022-12-06 19:59:44 ()],82,2244.737847,96.03832871,0.325,3,3
,,,,,,
[2022-12-06 19:59:53 ()],83,3172.037831,130.9876714,0.365,3,2
,,,,,,
[2022-12-06 20:00:01 ()],84,1050.112375,131.4875714,0.395,3,2
,,,,,,
[2022-12-06 20:00:09 ()],85,5999.637322,147.1309306,0.39,3,2
,,,,,,
[2022-12-06 20:00:17 ()],86,793.0094577,101.2750761,0.385,3,2
,,,,,,
[2022-12-06 20:00:25 ()],87,2629.068276,117.2393197,0.32,3,3
,,,,,,
[2022-12-06 20:00:33 ()],88,1651.026347,101.7095813,0.305,3,2
,,,,,,
[2022-12-06 20:00:41 ()],89,4047.715405,134.3281393,0.395,3,2
,,,,,,
[2022-12-06 20:00:49 ()],90,2896.309376,148.5613311,0.435,3,2
,,,,,,
[2022-12-06 20:00:58 ()],91,1651.026347,139.4874521,0.38,3,2
,,,,,,
[2022-12-06 20:01:06 ()],92,2761.611124,175.0797601,0.47,3,2
,,,,,,
[2022-12-06 20:01:15 ()],93,7776,160.2525877,0.345,3,3
,,,,,,
[2022-12-06 20:01:24 ()],94,6516.696095,205.5920787,0.445,3,3
,,,,,,
[2022-12-06 20:01:34 ()],95,4355.057749,185.9574715,0.475,3,2
,,,,,,
